# GENERATED by `npm run codes` — English glyph names for search + tooltips.
# <codepointKey>\t<name>[\t<keyword>...] — Unicode names for symbols/letters,
# Unihan definitions + pinyin for Han. Emoji names come from the CLDR emoji maps.
0021	Exclamation Mark
0022	Quotation Mark
0024	Dollar Sign
0025	Percent Sign
0026	Ampersand
0027	Apostrophe
0028	Left Parenthesis
0029	Right Parenthesis
002B	Plus Sign
002C	Comma
002D	Hyphen-Minus
002E	Full Stop
002F	Solidus
003A	Colon
003B	Semicolon
003C	Less-Than Sign
003D	Equals Sign
003E	Greater-Than Sign
003F	Question Mark
0040	Commercial At
0041	Latin Capital Letter A
0042	Latin Capital Letter B
0043	Latin Capital Letter C
0044	Latin Capital Letter D
0045	Latin Capital Letter E
0046	Latin Capital Letter F
0047	Latin Capital Letter G
0048	Latin Capital Letter H
0049	Latin Capital Letter I
004A	Latin Capital Letter J
004B	Latin Capital Letter K
004C	Latin Capital Letter L
004D	Latin Capital Letter M
004E	Latin Capital Letter N
004F	Latin Capital Letter O
0050	Latin Capital Letter P
0051	Latin Capital Letter Q
0052	Latin Capital Letter R
0053	Latin Capital Letter S
0054	Latin Capital Letter T
0055	Latin Capital Letter U
0056	Latin Capital Letter V
0057	Latin Capital Letter W
0058	Latin Capital Letter X
0059	Latin Capital Letter Y
005A	Latin Capital Letter Z
005B	Left Square Bracket
005C	Reverse Solidus
005D	Right Square Bracket
005E	Circumflex Accent
005F	Low Line
0060	Grave Accent
0061	Latin Small Letter A
0062	Latin Small Letter B
0063	Latin Small Letter C
0064	Latin Small Letter D
0065	Latin Small Letter E
0066	Latin Small Letter F
0067	Latin Small Letter G
0068	Latin Small Letter H
0069	Latin Small Letter I
006A	Latin Small Letter J
006B	Latin Small Letter K
006C	Latin Small Letter L
006D	Latin Small Letter M
006E	Latin Small Letter N
006F	Latin Small Letter O
0070	Latin Small Letter P
0071	Latin Small Letter Q
0072	Latin Small Letter R
0073	Latin Small Letter S
0074	Latin Small Letter T
0075	Latin Small Letter U
0076	Latin Small Letter V
0077	Latin Small Letter W
0078	Latin Small Letter X
0079	Latin Small Letter Y
007A	Latin Small Letter Z
007B	Left Curly Bracket
007C	Vertical Line
007D	Right Curly Bracket
007E	Tilde
00A1	Inverted Exclamation Mark
00A2	Cent Sign
00A3	Pound Sign
00A4	Currency Sign
00A5	Yen Sign
00A6	Broken Bar
00A7	Section Sign
00A8	Diaeresis
00A9	Copyright Sign
00AA	Feminine Ordinal Indicator
00AB	Left-Pointing Double Angle Quotation Mark
00AC	Not Sign
00AE	Registered Sign
00AF	Macron
00B0	Degree Sign
00B1	Plus-Minus Sign
00B2	Superscript Two
00B3	Superscript Three
00B4	Acute Accent
00B5	Micro Sign
00B6	Pilcrow Sign
00B7	Middle Dot
00B8	Cedilla
00B9	Superscript One
00BA	Masculine Ordinal Indicator
00BB	Right-Pointing Double Angle Quotation Mark
00BC	Vulgar Fraction One Quarter
00BD	Vulgar Fraction One Half
00BE	Vulgar Fraction Three Quarters
00BF	Inverted Question Mark
00C0	Latin Capital Letter A With Grave
00C1	Latin Capital Letter A With Acute
00C2	Latin Capital Letter A With Circumflex
00C3	Latin Capital Letter A With Tilde
00C4	Latin Capital Letter A With Diaeresis
00C5	Latin Capital Letter A With Ring Above
00C6	Latin Capital Letter Ae
00C7	Latin Capital Letter C With Cedilla
00C8	Latin Capital Letter E With Grave
00C9	Latin Capital Letter E With Acute
00CA	Latin Capital Letter E With Circumflex
00CB	Latin Capital Letter E With Diaeresis
00CC	Latin Capital Letter I With Grave
00CD	Latin Capital Letter I With Acute
00CE	Latin Capital Letter I With Circumflex
00CF	Latin Capital Letter I With Diaeresis
00D0	Latin Capital Letter Eth
00D1	Latin Capital Letter N With Tilde
00D2	Latin Capital Letter O With Grave
00D3	Latin Capital Letter O With Acute
00D4	Latin Capital Letter O With Circumflex
00D5	Latin Capital Letter O With Tilde
00D6	Latin Capital Letter O With Diaeresis
00D7	Multiplication Sign
00D8	Latin Capital Letter O With Stroke
00D9	Latin Capital Letter U With Grave
00DA	Latin Capital Letter U With Acute
00DB	Latin Capital Letter U With Circumflex
00DC	Latin Capital Letter U With Diaeresis
00DD	Latin Capital Letter Y With Acute
00DE	Latin Capital Letter Thorn
00DF	Latin Small Letter Sharp S
00E0	Latin Small Letter A With Grave
00E1	Latin Small Letter A With Acute
00E2	Latin Small Letter A With Circumflex
00E3	Latin Small Letter A With Tilde
00E4	Latin Small Letter A With Diaeresis
00E5	Latin Small Letter A With Ring Above
00E6	Latin Small Letter Ae
00E7	Latin Small Letter C With Cedilla
00E8	Latin Small Letter E With Grave
00E9	Latin Small Letter E With Acute
00EA	Latin Small Letter E With Circumflex
00EB	Latin Small Letter E With Diaeresis
00EC	Latin Small Letter I With Grave
00ED	Latin Small Letter I With Acute
00EE	Latin Small Letter I With Circumflex
00EF	Latin Small Letter I With Diaeresis
00F0	Latin Small Letter Eth
00F1	Latin Small Letter N With Tilde
00F2	Latin Small Letter O With Grave
00F3	Latin Small Letter O With Acute
00F4	Latin Small Letter O With Circumflex
00F5	Latin Small Letter O With Tilde
00F6	Latin Small Letter O With Diaeresis
00F7	Division Sign
00F8	Latin Small Letter O With Stroke
00F9	Latin Small Letter U With Grave
00FA	Latin Small Letter U With Acute
00FB	Latin Small Letter U With Circumflex
00FC	Latin Small Letter U With Diaeresis
00FD	Latin Small Letter Y With Acute
00FE	Latin Small Letter Thorn
00FF	Latin Small Letter Y With Diaeresis
0100	Latin Capital Letter A With Macron
0101	Latin Small Letter A With Macron
0102	Latin Capital Letter A With Breve
0103	Latin Small Letter A With Breve
0104	Latin Capital Letter A With Ogonek
0105	Latin Small Letter A With Ogonek
0106	Latin Capital Letter C With Acute
0107	Latin Small Letter C With Acute
0108	Latin Capital Letter C With Circumflex
0109	Latin Small Letter C With Circumflex
010A	Latin Capital Letter C With Dot Above
010B	Latin Small Letter C With Dot Above
010C	Latin Capital Letter C With Caron
010D	Latin Small Letter C With Caron
010E	Latin Capital Letter D With Caron
010F	Latin Small Letter D With Caron
0110	Latin Capital Letter D With Stroke
0111	Latin Small Letter D With Stroke
0112	Latin Capital Letter E With Macron
0113	Latin Small Letter E With Macron
0114	Latin Capital Letter E With Breve
0115	Latin Small Letter E With Breve
0116	Latin Capital Letter E With Dot Above
0117	Latin Small Letter E With Dot Above
0118	Latin Capital Letter E With Ogonek
0119	Latin Small Letter E With Ogonek
011A	Latin Capital Letter E With Caron
011B	Latin Small Letter E With Caron
011C	Latin Capital Letter G With Circumflex
011D	Latin Small Letter G With Circumflex
011E	Latin Capital Letter G With Breve
011F	Latin Small Letter G With Breve
0120	Latin Capital Letter G With Dot Above
0121	Latin Small Letter G With Dot Above
0122	Latin Capital Letter G With Cedilla
0123	Latin Small Letter G With Cedilla
0124	Latin Capital Letter H With Circumflex
0125	Latin Small Letter H With Circumflex
0126	Latin Capital Letter H With Stroke
0127	Latin Small Letter H With Stroke
0128	Latin Capital Letter I With Tilde
0129	Latin Small Letter I With Tilde
012A	Latin Capital Letter I With Macron
012B	Latin Small Letter I With Macron
012C	Latin Capital Letter I With Breve
012D	Latin Small Letter I With Breve
012E	Latin Capital Letter I With Ogonek
012F	Latin Small Letter I With Ogonek
0130	Latin Capital Letter I With Dot Above
0131	Latin Small Letter Dotless I
0132	Latin Capital Ligature Ij
0133	Latin Small Ligature Ij
0134	Latin Capital Letter J With Circumflex
0135	Latin Small Letter J With Circumflex
0136	Latin Capital Letter K With Cedilla
